ANN_model,digit_Ab,iteration,k,L,accuracy,TNrate,recall,f1,precision,time,metric
1,9,0,1,1,0.9336666666666666,0.9650877192982457,0.33666666666666667,0.33666666666666667,0.33666666666666667,4.52683424949646,Projection Distance
1,9,0,1,2,0.9336666666666666,0.9650877192982457,0.33666666666666667,0.33666666666666667,0.33666666666666667,4.527719974517822,Projection Distance
1,9,0,2,1,0.9396666666666667,0.9682456140350877,0.39666666666666667,0.39666666666666667,0.39666666666666667,4.648776054382324,Projection Distance
1,9,0,2,2,0.9383333333333334,0.9675438596491228,0.38333333333333336,0.38333333333333336,0.38333333333333336,4.649414300918579,Projection Distance
1,9,0,3,1,0.9436666666666667,0.9703508771929824,0.43666666666666665,0.43666666666666665,0.43666666666666665,4.692934513092041,Projection Distance
1,9,0,3,2,0.9553333333333334,0.9764912280701754,0.5533333333333333,0.5533333333333333,0.5533333333333333,4.692709922790527,Projection Distance
1,9,0,4,1,0.952,0.9747368421052631,0.52,0.52,0.52,4.649820327758789,Projection Distance
1,9,0,4,2,0.9496666666666667,0.9735087719298245,0.49666666666666665,0.49666666666666665,0.49666666666666665,4.6500444412231445,Projection Distance
1,9,0,5,1,0.9516666666666667,0.974561403508772,0.5166666666666667,0.5166666666666667,0.5166666666666667,4.677353858947754,Projection Distance
1,9,0,5,2,0.9493333333333334,0.9733333333333334,0.49333333333333335,0.4933333333333334,0.49333333333333335,4.678011417388916,Projection Distance
1,9,0,6,1,0.9276666666666666,0.9619298245614035,0.27666666666666667,0.27666666666666667,0.27666666666666667,4.701508045196533,Projection Distance
1,9,0,6,2,0.9253333333333333,0.960701754385965,0.25333333333333335,0.25333333333333335,0.25333333333333335,4.702291011810303,Projection Distance
1,9,0,7,1,0.954,0.9757894736842105,0.54,0.54,0.54,4.673856735229492,Projection Distance
1,9,0,7,2,0.9466666666666667,0.9719298245614035,0.4666666666666667,0.4666666666666667,0.4666666666666667,4.674500465393066,Projection Distance
1,9,0,8,1,0.919,0.9573684210526315,0.19,0.19,0.19,4.724126815795898,Projection Distance
1,9,0,8,2,0.9183333333333333,0.9570175438596491,0.18333333333333332,0.18333333333333332,0.18333333333333332,4.724725008010864,Projection Distance
1,9,0,9,1,0.936,0.9663157894736842,0.36,0.36,0.36,4.826606512069702,Projection Distance
1,9,0,9,2,0.9206666666666666,0.9582456140350877,0.20666666666666667,0.20666666666666667,0.20666666666666667,4.827328681945801,Projection Distance
1,9,0,10,1,0.932,0.9642105263157895,0.32,0.32,0.32,4.961552143096924,Projection Distance
1,9,0,10,2,0.939,0.9678947368421053,0.39,0.39,0.39,4.962235450744629,Projection Distance
1,9,1,1,1,0.934,0.9652631578947368,0.34,0.34,0.34,4.192893743515015,Projection Distance
1,9,1,1,2,0.934,0.9652631578947368,0.34,0.34,0.34,4.193154335021973,Projection Distance
1,9,1,2,1,0.937,0.966842105263158,0.37,0.37,0.37,4.909694671630859,Projection Distance
1,9,1,2,2,0.937,0.966842105263158,0.37,0.37,0.37,4.916235446929932,Projection Distance
1,9,1,3,1,0.952,0.9747368421052631,0.52,0.52,0.52,4.6776957511901855,Projection Distance
1,9,1,3,2,0.9563333333333334,0.9770175438596491,0.5633333333333334,0.5633333333333334,0.5633333333333334,4.677703380584717,Projection Distance
1,9,1,4,1,0.95,0.9736842105263158,0.5,0.5,0.5,4.655857801437378,Projection Distance
1,9,1,4,2,0.956,0.9768421052631578,0.56,0.56,0.56,4.656497240066528,Projection Distance
1,9,1,5,1,0.93,0.9631578947368421,0.3,0.3,0.3,4.734337091445923,Projection Distance
1,9,1,5,2,0.9366666666666666,0.9666666666666667,0.36666666666666664,0.36666666666666664,0.36666666666666664,4.738696336746216,Projection Distance
1,9,1,6,1,0.937,0.966842105263158,0.37,0.37,0.37,4.659461498260498,Projection Distance
1,9,1,6,2,0.9373333333333334,0.9670175438596491,0.37333333333333335,0.37333333333333335,0.37333333333333335,4.6597418785095215,Projection Distance
1,9,1,7,1,0.9296666666666666,0.9629824561403508,0.2966666666666667,0.2966666666666667,0.2966666666666667,4.705924034118652,Projection Distance
1,9,1,7,2,0.933,0.9647368421052631,0.33,0.33,0.33,4.705067157745361,Projection Distance
1,9,1,8,1,0.9443333333333334,0.970701754385965,0.44333333333333336,0.44333333333333336,0.44333333333333336,4.64424467086792,Projection Distance
1,9,1,8,2,0.9513333333333334,0.9743859649122807,0.5133333333333333,0.5133333333333333,0.5133333333333333,4.645408630371094,Projection Distance
1,9,1,9,1,0.9393333333333334,0.9680701754385965,0.3933333333333333,0.3933333333333333,0.3933333333333333,4.810565233230591,Projection Distance
1,9,1,9,2,0.9433333333333334,0.9701754385964912,0.43333333333333335,0.43333333333333335,0.43333333333333335,4.810654401779175,Projection Distance
1,9,1,10,1,0.9476666666666667,0.9724561403508772,0.4766666666666667,0.4766666666666667,0.4766666666666667,5.029496908187866,Projection Distance
1,9,1,10,2,0.9453333333333334,0.9712280701754386,0.4533333333333333,0.4533333333333333,0.4533333333333333,5.030087471008301,Projection Distance
1,9,2,1,1,0.9306666666666666,0.9635087719298245,0.30666666666666664,0.30666666666666664,0.30666666666666664,4.254430294036865,Projection Distance
1,9,2,1,2,0.9306666666666666,0.9635087719298245,0.30666666666666664,0.30666666666666664,0.30666666666666664,4.254382848739624,Projection Distance
1,9,2,2,1,0.9393333333333334,0.9680701754385965,0.3933333333333333,0.3933333333333333,0.3933333333333333,4.613907098770142,Projection Distance
1,9,2,2,2,0.938,0.9673684210526315,0.38,0.38,0.38,4.616803407669067,Projection Distance
1,9,2,3,1,0.9426666666666667,0.9698245614035088,0.4266666666666667,0.42666666666666675,0.4266666666666667,4.610681056976318,Projection Distance
1,9,2,3,2,0.9426666666666667,0.9698245614035088,0.4266666666666667,0.42666666666666675,0.4266666666666667,4.611134767532349,Projection Distance
1,9,2,4,1,0.966,0.9821052631578947,0.66,0.66,0.66,4.6578733921051025,Projection Distance
1,9,2,4,2,0.9723333333333334,0.9854385964912281,0.7233333333333334,0.7233333333333334,0.7233333333333334,4.658296346664429,Projection Distance
1,9,2,5,1,0.9163333333333333,0.9559649122807018,0.16333333333333333,0.16333333333333333,0.16333333333333333,4.625722646713257,Projection Distance
1,9,2,5,2,0.92,0.9578947368421052,0.2,0.20000000000000004,0.2,4.626261949539185,Projection Distance
1,9,2,6,1,0.949,0.9731578947368421,0.49,0.49,0.49,5.017262935638428,Projection Distance
1,9,2,6,2,0.944,0.9705263157894737,0.44,0.44,0.44,5.017598390579224,Projection Distance
1,9,2,7,1,0.9216666666666666,0.9587719298245614,0.21666666666666667,0.21666666666666667,0.21666666666666667,4.691460847854614,Projection Distance
1,9,2,7,2,0.9263333333333333,0.9612280701754385,0.2633333333333333,0.2633333333333333,0.2633333333333333,4.691926956176758,Projection Distance
1,9,2,8,1,0.9286666666666666,0.9624561403508772,0.2866666666666667,0.2866666666666667,0.2866666666666667,4.785518169403076,Projection Distance
1,9,2,8,2,0.9313333333333333,0.963859649122807,0.31333333333333335,0.31333333333333335,0.31333333333333335,4.784970045089722,Projection Distance
1,9,2,9,1,0.9446666666666667,0.9708771929824561,0.44666666666666666,0.44666666666666666,0.44666666666666666,4.841981649398804,Projection Distance
1,9,2,9,2,0.9383333333333334,0.9675438596491228,0.38333333333333336,0.38333333333333336,0.38333333333333336,4.842556715011597,Projection Distance
1,9,2,10,1,0.9306666666666666,0.9635087719298245,0.30666666666666664,0.30666666666666664,0.30666666666666664,4.967809200286865,Projection Distance
1,9,2,10,2,0.9313333333333333,0.963859649122807,0.31333333333333335,0.31333333333333335,0.31333333333333335,4.967997074127197,Projection Distance
1,9,3,1,1,0.933,0.9647368421052631,0.33,0.33,0.33,4.306600093841553,Projection Distance
1,9,3,1,2,0.933,0.9647368421052631,0.33,0.33,0.33,4.308410882949829,Projection Distance
1,9,3,2,1,0.938,0.9673684210526315,0.38,0.38,0.38,4.724741220474243,Projection Distance
1,9,3,2,2,0.9363333333333334,0.9664912280701754,0.36333333333333334,0.3633333333333333,0.36333333333333334,4.723859548568726,Projection Distance
1,9,3,3,1,0.9376666666666666,0.9671929824561404,0.37666666666666665,0.37666666666666665,0.37666666666666665,4.640763282775879,Projection Distance
1,9,3,3,2,0.9486666666666667,0.9729824561403508,0.4866666666666667,0.4866666666666667,0.4866666666666667,4.6412034034729,Projection Distance
1,9,3,4,1,0.946,0.9715789473684211,0.46,0.46,0.46,4.635621547698975,Projection Distance
1,9,3,4,2,0.9463333333333334,0.9717543859649123,0.4633333333333333,0.4633333333333333,0.4633333333333333,4.636144161224365,Projection Distance
1,9,3,5,1,0.9663333333333334,0.982280701754386,0.6633333333333333,0.6633333333333333,0.6633333333333333,4.733184814453125,Projection Distance
1,9,3,5,2,0.9663333333333334,0.982280701754386,0.6633333333333333,0.6633333333333333,0.6633333333333333,4.73385214805603,Projection Distance
1,9,3,6,1,0.9316666666666666,0.9640350877192982,0.31666666666666665,0.31666666666666665,0.31666666666666665,4.785272598266602,Projection Distance
1,9,3,6,2,0.932,0.9642105263157895,0.32,0.32,0.32,4.78572678565979,Projection Distance
1,9,3,7,1,0.9306666666666666,0.9635087719298245,0.30666666666666664,0.30666666666666664,0.30666666666666664,4.745142698287964,Projection Distance
1,9,3,7,2,0.9363333333333334,0.9664912280701754,0.36333333333333334,0.3633333333333333,0.36333333333333334,4.745189428329468,Projection Distance
1,9,3,8,1,0.9523333333333334,0.9749122807017544,0.5233333333333333,0.5233333333333333,0.5233333333333333,4.679832696914673,Projection Distance
1,9,3,8,2,0.937,0.966842105263158,0.37,0.37,0.37,4.681681871414185,Projection Distance
1,9,3,9,1,0.9383333333333334,0.9675438596491228,0.38333333333333336,0.38333333333333336,0.38333333333333336,4.8003950119018555,Projection Distance
1,9,3,9,2,0.9353333333333333,0.9659649122807018,0.35333333333333333,0.35333333333333333,0.35333333333333333,4.801537275314331,Projection Distance
1,9,3,10,1,0.9333333333333333,0.9649122807017544,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.456977128982544,Projection Distance
1,9,3,10,2,0.939,0.9678947368421053,0.39,0.39,0.39,5.457409143447876,Projection Distance
1,9,4,1,1,0.935,0.9657894736842105,0.35,0.35,0.35,4.252443313598633,Projection Distance
1,9,4,1,2,0.935,0.9657894736842105,0.35,0.35,0.35,4.252721786499023,Projection Distance
