ANN_model,digit_Ab,iteration,k,L,accuracy,TNrate,recall,f1,precision,time,metric
1,1,0,1,1,0.944,0.970526316,0.44,0.44,0.44,4.470461845,Construction Error
1,1,0,1,2,0.902333333,0.948596491,0.023333333,0.023333333,0.023333333,4.465362787,Construction Error
1,1,0,2,1,0.946333333,0.971754386,0.463333333,0.463333333,0.463333333,4.716871977,Construction Error
1,1,0,2,2,0.901333333,0.948070175,0.013333333,0.013333333,0.013333333,4.711696386,Construction Error
1,1,0,3,1,0.958333333,0.978070175,0.583333333,0.583333333,0.583333333,4.657764435,Construction Error
1,1,0,3,2,0.903,0.948947368,0.03,0.03,0.03,4.651857376,Construction Error
1,1,0,4,1,0.967333333,0.982807018,0.673333333,0.673333333,0.673333333,4.718311787,Construction Error
1,1,0,4,2,0.908333333,0.951754386,0.083333333,0.083333333,0.083333333,4.713012934,Construction Error
1,1,0,5,1,0.908,0.951578947,0.08,0.08,0.08,4.719353437,Construction Error
1,1,0,5,2,0.903,0.948947368,0.03,0.03,0.03,4.713619709,Construction Error
1,1,0,6,1,0.910333333,0.952807018,0.103333333,0.103333333,0.103333333,4.664966583,Construction Error
1,1,0,6,2,0.905,0.95,0.05,0.05,0.05,4.658648968,Construction Error
1,1,0,7,1,0.909666667,0.95245614,0.096666667,0.096666667,0.096666667,4.732834339,Construction Error
1,1,0,7,2,0.905333333,0.950175439,0.053333333,0.053333333,0.053333333,4.728992701,Construction Error
1,1,0,8,1,0.907333333,0.95122807,0.073333333,0.073333333,0.073333333,4.615989923,Construction Error
1,1,0,8,2,0.906,0.950526316,0.06,0.06,0.06,4.620559692,Construction Error
1,1,0,9,1,0.909666667,0.95245614,0.096666667,0.096666667,0.096666667,4.790223122,Construction Error
1,1,0,9,2,0.908333333,0.951754386,0.083333333,0.083333333,0.083333333,4.794718027,Construction Error
1,1,0,10,1,0.908,0.951578947,0.08,0.08,0.08,4.964487314,Construction Error
1,1,0,10,2,0.91,0.952631579,0.1,0.1,0.1,4.967282295,Construction Error
1,1,1,1,1,0.941666667,0.969298246,0.416666667,0.416666667,0.416666667,4.159580469,Construction Error
1,1,1,1,2,0.901666667,0.948245614,0.016666667,0.016666667,0.016666667,4.160993576,Construction Error
1,1,1,2,1,0.954,0.975789474,0.54,0.54,0.54,4.615938902,Construction Error
1,1,1,2,2,0.902,0.948421053,0.02,0.02,0.02,4.617604256,Construction Error
1,1,1,3,1,0.926,0.961052632,0.26,0.26,0.26,4.866577148,Construction Error
1,1,1,3,2,0.901333333,0.948070175,0.013333333,0.013333333,0.013333333,4.866848469,Construction Error
1,1,1,4,1,0.966333333,0.982280702,0.663333333,0.663333333,0.663333333,4.657445431,Construction Error
1,1,1,4,2,0.905666667,0.950350877,0.056666667,0.056666667,0.056666667,4.662688494,Construction Error
