ANN_model,digit_Ab,iteration,k,L,accuracy,TNrate,recall,f1,precision,time,metric
1,2,0,1,1,0.9316666666666666,0.9640350877192982,0.31666666666666665,0.31666666666666665,0.31666666666666665,4.51934289932251,Projection Distance
1,2,0,1,2,0.9316666666666666,0.9640350877192982,0.31666666666666665,0.31666666666666665,0.31666666666666665,4.519669532775879,Projection Distance
1,2,0,2,1,0.938,0.9673684210526315,0.38,0.38,0.38,4.691460371017456,Projection Distance
1,2,0,2,2,0.9336666666666666,0.9650877192982457,0.33666666666666667,0.33666666666666667,0.33666666666666667,4.691526651382446,Projection Distance
1,2,0,3,1,0.941,0.9689473684210527,0.41,0.41,0.41,4.665797472000122,Projection Distance
1,2,0,3,2,0.945,0.9710526315789474,0.45,0.45,0.45,4.666523218154907,Projection Distance
1,2,0,4,1,0.9423333333333334,0.9696491228070175,0.42333333333333334,0.42333333333333334,0.42333333333333334,4.690516948699951,Projection Distance
1,2,0,4,2,0.9353333333333333,0.9659649122807018,0.35333333333333333,0.35333333333333333,0.35333333333333333,4.690506935119629,Projection Distance
1,2,0,5,1,0.9586666666666667,0.9782456140350877,0.5866666666666667,0.5866666666666667,0.5866666666666667,4.742163419723511,Projection Distance
1,2,0,5,2,0.9566666666666667,0.9771929824561404,0.5666666666666667,0.5666666666666667,0.5666666666666667,4.742549657821655,Projection Distance
1,2,0,6,1,0.935,0.9657894736842105,0.35,0.35,0.35,4.6625590324401855,Projection Distance
1,2,0,6,2,0.931,0.9636842105263158,0.31,0.31,0.31,4.663353681564331,Projection Distance
1,2,0,7,1,0.9403333333333334,0.9685964912280702,0.4033333333333333,0.40333333333333327,0.4033333333333333,4.646260738372803,Projection Distance
1,2,0,7,2,0.928,0.9621052631578947,0.28,0.28,0.28,4.646667003631592,Projection Distance
1,2,0,8,1,0.9303333333333333,0.9633333333333334,0.30333333333333334,0.30333333333333334,0.30333333333333334,4.689070463180542,Projection Distance
1,2,0,8,2,0.937,0.966842105263158,0.37,0.37,0.37,4.68951940536499,Projection Distance
1,2,0,9,1,0.9396666666666667,0.9682456140350877,0.39666666666666667,0.39666666666666667,0.39666666666666667,4.785833835601807,Projection Distance
1,2,0,9,2,0.9353333333333333,0.9659649122807018,0.35333333333333333,0.35333333333333333,0.35333333333333333,4.786797761917114,Projection Distance
1,2,0,10,1,0.9333333333333333,0.9649122807017544,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.025050401687622,Projection Distance
1,2,0,10,2,0.932,0.9642105263157895,0.32,0.32,0.32,5.026036500930786,Projection Distance
1,2,1,1,1,0.9366666666666666,0.9666666666666667,0.36666666666666664,0.36666666666666664,0.36666666666666664,4.188743591308594,Projection Distance
