digit_Ab,iteration,k,FPrate,accuracy,f1,precision,recall,time
1,0,1,0.052631579,0.9,0,0,0,0.351625204
1,0,2,0.020877193,0.960333333,0.603333333,0.603333333,0.603333333,0.32603097
1,0,3,0.007017544,0.986666667,0.866666667,0.866666667,0.866666667,0.364936113
1,0,4,0.022807018,0.956666667,0.566666667,0.566666667,0.566666667,0.512848854
1,0,5,0.035087719,0.933333333,0.333333333,0.333333333,0.333333333,0.372035742
1,0,6,0.037017544,0.929666667,0.296666667,0.296666667,0.296666667,0.412172079
1,0,7,0.037368421,0.929,0.29,0.29,0.29,0.724352121
1,0,8,0.042105263,0.92,0.2,0.2,0.2,0.515976906
1,0,9,0.043333333,0.917666667,0.176666667,0.176666667,0.176666667,0.479031086
1,0,10,0.043859649,0.916666667,0.166666667,0.166666667,0.166666667,0.552934885
1,0,11,0.045964912,0.912666667,0.126666667,0.126666667,0.126666667,0.5971241
1,0,12,0.047368421,0.91,0.1,0.1,0.1,0.521186113
1,0,13,0.047719298,0.909333333,0.093333333,0.093333333,0.093333333,0.460591078
1,0,14,0.048596491,0.907666667,0.076666667,0.076666667,0.076666667,0.533846855
1,0,15,0.049473684,0.906,0.06,0.06,0.06,0.475180149
1,0,16,0.050175439,0.904666667,0.046666667,0.046666667,0.046666667,0.474395275
1,0,32,0.049824561,0.905333333,0.053333333,0.053333333,0.053333333,0.680789948
1,0,64,0.050350877,0.904333333,0.043333333,0.043333333,0.043333333,0.918054104
1,0,128,0.050175439,0.904666667,0.046666667,0.046666667,0.046666667,1.365318775
1,0,256,0.049649123,0.905666667,0.056666667,0.056666667,0.056666667,1.681520224
1,0,512,0.05,0.905,0.05,0.05,0.05,3.530192137
1,0,784,0.051578947,0.902,0.02,0.02,0.02,3.049625874
1,1,1,0.052631579,0.9,0,0,0,0.294086933
1,1,2,0.018947368,0.964,0.64,0.64,0.64,0.350827932
1,1,3,0.006491228,0.987666667,0.876666667,0.876666667,0.876666667,0.398820877
1,1,4,0.023508772,0.955333333,0.553333333,0.553333333,0.553333333,0.349275112
1,1,5,0.035263158,0.933,0.33,0.33,0.33,0.371861935
1,1,6,0.036666667,0.930333333,0.303333333,0.303333333,0.303333333,0.437403202
1,1,7,0.03754386,0.928666667,0.286666667,0.286666667,0.286666667,1.90774703
1,1,8,0.041754386,0.920666667,0.206666667,0.206666667,0.206666667,2.075590849
1,1,9,0.042982456,0.918333333,0.183333333,0.183333333,0.183333333,0.444600821
1,1,10,0.044210526,0.916,0.16,0.16,0.16,0.544317961
1,1,11,0.045263158,0.914,0.14,0.14,0.14,0.475479126
1,1,12,0.046842105,0.911,0.11,0.11,0.11,0.461879015
1,1,13,0.046842105,0.911,0.11,0.11,0.11,0.523126602
1,1,14,0.04877193,0.907333333,0.073333333,0.073333333,0.073333333,0.532546043
1,1,15,0.05,0.905,0.05,0.05,0.05,0.481504917
1,1,16,0.050350877,0.904333333,0.043333333,0.043333333,0.043333333,0.713821888
1,1,32,0.050877193,0.903333333,0.033333333,0.033333333,0.033333333,2.097873211
1,1,64,0.050701754,0.903666667,0.036666667,0.036666667,0.036666667,1.51366806
1,1,128,0.050701754,0.903666667,0.036666667,0.036666667,0.036666667,2.108156204
1,1,256,0.050350877,0.904333333,0.043333333,0.043333333,0.043333333,1.564182997
1,1,512,0.050526316,0.904,0.04,0.04,0.04,4.460009813
1,1,784,0.052280702,0.900666667,0.006666667,0.006666667,0.006666667,34.70270514
1,2,1,0.052631579,0.9,0,0,0,1.799368382
1,2,2,0.020526316,0.961,0.61,0.61,0.61,2.71596694
1,2,3,0.007719298,0.985333333,0.853333333,0.853333333,0.853333333,0.646533728
1,2,4,0.022982456,0.956333333,0.563333333,0.563333333,0.563333333,0.503347874
1,2,5,0.035438596,0.932666667,0.326666667,0.326666667,0.326666667,0.465611935
1,2,6,0.037017544,0.929666667,0.296666667,0.296666667,0.296666667,0.4048419
1,2,7,0.037017544,0.929666667,0.296666667,0.296666667,0.296666667,0.389450073
1,2,8,0.04122807,0.921666667,0.216666667,0.216666667,0.216666667,0.529466867
1,2,9,0.043684211,0.917,0.17,0.17,0.17,0.656984806
1,2,10,0.043157895,0.918,0.18,0.18,0.18,0.696664095
1,2,11,0.045614035,0.913333333,0.133333333,0.133333333,0.133333333,0.813242197
1,2,12,0.046842105,0.911,0.11,0.11,0.11,2.003074169
1,2,13,0.04754386,0.909666667,0.096666667,0.096666667,0.096666667,2.858873129
1,2,14,0.049824561,0.905333333,0.053333333,0.053333333,0.053333333,2.876255989
1,2,15,0.050701754,0.903666667,0.036666667,0.036666667,0.036666667,1.339162827
1,2,16,0.051052632,0.903,0.03,0.03,0.03,7.004725933
1,2,32,0.050701754,0.903666667,0.036666667,0.036666667,0.036666667,9.318500757
1,2,64,0.05122807,0.902666667,0.026666667,0.026666667,0.026666667,16.03864098
1,2,128,0.050877193,0.903333333,0.033333333,0.033333333,0.033333333,12.34235811
1,2,256,0.050701754,0.903666667,0.036666667,0.036666667,0.036666667,5.087807894
1,2,512,0.05122807,0.902666667,0.026666667,0.026666667,0.026666667,5.034896135
